Block,direction,latitude,longitude,
112,SE,45.98501099,-112.540506,
112,SW,45.98501099,-112.540642,
112,NE,45.98513101,-112.540506,
112,NW,45.98513101,-112.540642,
113,SE,45.98501099,-112.540355,
113,SW,45.98501099,-112.540491,
113,NE,45.98513101,-112.540355,
113,NW,45.98513101,-112.540491,
114,SE,45.98501099,-112.540189,
114,SW,45.98501099,-112.540325,
114,NE,45.98513101,-112.540189,
114,NW,45.98513101,-112.540325,
115,SE,45.98501099,-112.540034,
115,SW,45.98501099,-112.54017,
115,NE,45.98513101,-112.540034,
115,NW,45.98513101,-112.54017,
116,SE,45.98501099,-112.53984,
116,SW,45.98501099,-112.539976,
116,NE,45.98513101,-112.53984,
116,NW,45.98513101,-112.539976,
117,SE,45.98501099,-112.539682,
117,SW,45.98501099,-112.539818,
117,NE,45.98513101,-112.539682,
117,NW,45.98513101,-112.539818,
118,SE,45.98501099,-112.539524,
118,SW,45.98501099,-112.53966,
118,NE,45.98513101,-112.539524,
118,NW,45.98513101,-112.53966,
119,SE,45.98501099,-112.539368,
119,SW,45.98501099,-112.539504,
119,NE,45.98513101,-112.539368,
119,NW,45.98513101,-112.539504,
120,SE,45.98501099,-112.539208,
120,SW,45.98501099,-112.539344,
120,NE,45.98513101,-112.539208,
120,NW,45.98513101,-112.539344,
121,SE,45.98514799,-112.540655,
121,SW,45.98514799,-112.540791,
121,NE,45.98526801,-112.540655,
121,NW,45.98526801,-112.540791,
122,SE,45.98514799,-112.540506,
122,SW,45.98514799,-112.540642,
122,NE,45.98526801,-112.540506,
122,NW,45.98526801,-112.540642,
123,SE,45.98514799,-112.540355,
123,SW,45.98514799,-112.540491,
123,NE,45.98526801,-112.540355,
123,NW,45.98526801,-112.540491,
124,SE,45.98514799,-112.540189,
124,SW,45.98514799,-112.540325,
124,NE,45.98526801,-112.540189,
124,NW,45.98526801,-112.540325,
125,SE,45.98514799,-112.540034,
125,SW,45.98514799,-112.54017,
125,NE,45.98526801,-112.540034,
125,NW,45.98526801,-112.54017,
126,SE,45.98514799,-112.53984,
126,SW,45.98514799,-112.539976,
126,NE,45.98526801,-112.53984,
126,NW,45.98526801,-112.539976,
127,SE,45.98514799,-112.539682,
127,SW,45.98514799,-112.539818,
127,NE,45.98526801,-112.539682,
127,NW,45.98526801,-112.539818,
128,SE,45.98514799,-112.539524,
128,SW,45.98514799,-112.53966,
128,NE,45.98526801,-112.539524,
128,NW,45.98526801,-112.53966,
129,SE,45.98514799,-112.539368,
129,SW,45.98514799,-112.539504,
129,NE,45.98526801,-112.539368,
129,NW,45.98526801,-112.539504,
130,SE,45.98514799,-112.539208,
130,SW,45.98514799,-112.539344,
130,NE,45.98526801,-112.539208,
130,NW,45.98526801,-112.539344,
131,SE,45.98527999,-112.540655,
131,SW,45.98527999,-112.540791,
131,NE,45.98540001,-112.540655,
131,NW,45.98540001,-112.540791,
132,SE,45.98527999,-112.540506,
132,SW,45.98527999,-112.540642,
132,NE,45.98540001,-112.540506,
132,NW,45.98540001,-112.540642,
133,SE,45.98527999,-112.540355,
133,SW,45.98527999,-112.540491,
133,NE,45.98540001,-112.540355,
133,NW,45.98540001,-112.540491,
134,SE,45.98527999,-112.540189,
134,SW,45.98527999,-112.540325,
134,NE,45.98540001,-112.540189,
134,NW,45.98540001,-112.540325,
135,SE,45.98527999,-112.540034,
135,SW,45.98527999,-112.54017,
135,NE,45.98540001,-112.540034,
135,NW,45.98540001,-112.54017,
136,SE,45.98527999,-112.53984,
136,SW,45.98527999,-112.539976,
136,NE,45.98540001,-112.53984,
136,NW,45.98540001,-112.539976,
137,SE,45.98527999,-112.539682,
137,SW,45.98527999,-112.539818,
137,NE,45.98540001,-112.539682,
137,NW,45.98540001,-112.539818,
138,SE,45.98527999,-112.539524,
138,SW,45.98527999,-112.53966,
138,NE,45.98540001,-112.539524,
138,NW,45.98540001,-112.53966,
139,SE,45.98527999,-112.539368,
139,SW,45.98527999,-112.539504,
139,NE,45.98540001,-112.539368,
139,NW,45.98540001,-112.539504,
140,SE,45.98527999,-112.539208,
140,SW,45.98527999,-112.539344,
140,NE,45.98540001,-112.539208,
140,NW,45.98540001,-112.539344,
141,SE,45.98542199,-112.540655,
141,SW,45.98542199,-112.540791,
141,NE,45.98554201,-112.540655,
141,NW,45.98554201,-112.540791,
142,SE,45.98542199,-112.540506,
142,SW,45.98542199,-112.540642,
142,NE,45.98554201,-112.540506,
142,NW,45.98554201,-112.540642,
143,SE,45.98542199,-112.540355,
143,SW,45.98542199,-112.540491,
143,NE,45.98554201,-112.540355,
143,NW,45.98554201,-112.540491,
