Block,Cardinal directions,latitude,longitude,,Correct,"If Not Correct, notes on why"
81,NW,45.98372401,-112.539504,,X,
82,SE,45.98360399,-112.539208,,X,
82,SW,45.98360399,-112.539344,,X,
82,NE,45.98372401,-112.539208,,X,
82,NW,45.98372401,-112.539344,,X,
83,SE,45.98346599,-112.540655,,X,
83,SW,45.98346599,-112.540791,,X,
83,NE,45.98358601,-112.540655,,X,
83,NW,45.98358601,-112.540791,,X,
84,SE,45.98346599,-112.540506,,X,
84,SW,45.98346599,-112.540642,,X,
84,NE,45.98358601,-112.540506,,X,
84,NW,45.98358601,-112.540642,,X,
85,SE,45.98346599,-112.540355,,X,
85,SW,45.98346599,-112.540491,,X,
85,NE,45.98358601,-112.540355,,X,
85,NW,45.98358601,-112.540491,,X,
86,SE,45.98346599,-112.540189,,X,
86,SW,45.98346599,-112.540325,,X,
86,NE,45.98358601,-112.540189,,X,
86,NW,45.98358601,-112.540325,,X,
87,SE,45.98346599,-112.540034,,X,
87,SW,45.98346599,-112.54017,,X,
87,NE,45.98358601,-112.540034,,X,
87,NW,45.98358601,-112.54017,,X,
88,SE,45.98346599,-112.53984,,X,
88,SW,45.98346599,-112.539976,,X,
88,NE,45.98358601,-112.53984,,X,
88,NW,45.98358601,-112.539976,,X,
89,SE,45.98346599,-112.539682,,X,
89,SW,45.98346599,-112.539818,,X,
89,NE,45.98358601,-112.539682,,X,
89,NW,45.98358601,-112.539818,,X,
90,SE,45.98346599,-112.539524,,X,
90,SW,45.98346599,-112.53966,,X,
90,NE,45.98358601,-112.539524,,X,
90,NW,45.98358601,-112.53966,,X,
91,SE,45.98346599,-112.539368,,X,
91,SW,45.98346599,-112.539504,,X,
91,NE,45.98358601,-112.539368,,X,
91,NW,45.98358601,-112.539504,,X,
92,SE,45.98346599,-112.539208,,X,
92,SW,45.98346599,-112.539344,,X,
92,NE,45.98358601,-112.539208,,X,
92,NW,45.98358601,-112.539344,,X,
93,SE,0,0,,,Review this
93,SW,0,0,,,Review this
93,NE,0,0,,,Review this
93,NW,0,0,,,Review this
94,SE,0,0,,,Review this
94,SW,0,0,,,Review this
94,NE,0,0,,,Review this
94,NW,0,0,,,Review this
95,SE,0,0,,,Review this
95,SW,0,0,,,Review this
95,NE,0,0,,,Review this
95,NW,0,0,,,Review this
96,SE,0,0,,,Review this
96,SW,0,0,,,Review this
96,NE,0,0,,,Review this
96,NW,0,0,,,Review this
97,SE,0,0,,,Review this
97,SW,0,0,,,Review this
97,NE,0,0,,,Review this
97,NW,0,0,,,Review this
98,SE,0,0,,,Review this
98,SW,0,0,,,Review this
98,NE,0,0,,,Review this
98,NW,0,0,,,Review this
99,SE,0,0,,,Review this
99,SW,0,0,,,Review this
99,NE,0,0,,,Review this
99,NW,0,0,,,Review this
100,SE,0,0,,,Review this
100,SW,0,0,,,Review this
100,NE,0,0,,,Review this
100,NW,0,0,,,Review this
101,SE,45.98486399,-112.540655,,X,
101,SW,45.98486399,-112.540791,,X,
101,NE,45.98498401,-112.540655,,X,
101,NW,45.98498401,-112.540791,,X,
102,SE,45.98486399,-112.540506,,X,
102,SW,45.98486399,-112.540642,,X,
102,NE,45.98498401,-112.540506,,X,
102,NW,45.98498401,-112.540642,,X,
103,SE,45.98486399,-112.540355,,X,
103,SW,45.98486399,-112.540491,,X,
103,NE,45.98498401,-112.540355,,X,
103,NW,45.98498401,-112.540491,,X,
104,SE,45.98486399,-112.540189,,X,
104,SW,45.98486399,-112.540325,,X,
104,NE,45.98498401,-112.540189,,X,
104,NW,45.98498401,-112.540325,,X,
105,SE,45.98486399,-112.540034,,X,
105,SW,45.98486399,-112.54017,,X,
105,NE,45.98498401,-112.540034,,X,
105,NW,45.98498401,-112.54017,,X,
106,SE,45.98486399,-112.53984,,X,
106,SW,45.98486399,-112.539976,,X,
106,NE,45.98498401,-112.53984,,X,
106,NW,45.98498401,-112.539976,,X,
107,SE,45.98486399,-112.539682,,X,
107,SW,45.98486399,-112.539818,,X,
107,NE,45.98498401,-112.539682,,X,
107,NW,45.98498401,-112.539818,,X,
108,SE,45.98486399,-112.539524,,X,
108,SW,45.98486399,-112.53966,,X,
108,NE,45.98498401,-112.539524,,X,
108,NW,45.98498401,-112.53966,,X,
109,SE,45.98486399,-112.539368,,X,
