block,SE,SE,SW,SW,NE,NE,NW,NW
273,45.98346599,-112.542009,45.98346599,-112.542145,45.98358601,-112.542009,45.98358601,-112.542145
274,45.98360399,-112.542009,45.98360399,-112.542145,45.98372401,-112.542009,45.98372401,-112.542145
275,45.98373999,-112.542009,45.98373999,-112.542145,45.98386001,-112.542009,45.98386001,-112.542145
276,45.98387699,-112.542009,45.98387699,-112.542145,45.98399701,-112.542009,45.98399701,-112.542145
277,45.98401899,-112.542009,45.98401899,-112.542145,45.98413901,-112.542009,45.98413901,-112.542145
278,45.98415199,-112.542009,45.98415199,-112.542145,45.98427201,-112.542009,45.98427201,-112.542145
279,45.98431899,-112.542009,45.98431899,-112.542145,45.98443901,-112.542009,45.98443901,-112.542145
280,45.98445399,-112.542009,45.98445399,-112.542145,45.98457401,-112.542009,45.98457401,-112.542145
281,45.98459399,-112.542009,45.98459399,-112.542145,45.98471401,-112.542009,45.98471401,-112.542145
282,45.98472999,-112.542009,45.98472999,-112.542145,45.98485001,-112.542009,45.98485001,-112.542145
283,45.98486399,-112.542009,45.98486399,-112.542145,45.98498401,-112.542009,45.98498401,-112.542145
